Disease,Symptoms
obesity,"flare, cystic lesion, overweight, systolic murmur, ecchymosis"
decubitus   ulcer,"systolic murmur, abortion, fever, frail, estrogen use"
primary   carcinoma of the liver cells,"charleyhorse, breakthrough pain, difficulty, stupor, pain abdominal, cough"
hemiparesis,"facial paresis, sleepy, macerated skin, nasal flaring, Stahli's line, stinging sensation"
osteomyelitis,"titubation, urinary hesitation, hacking cough, pain foot, abscess bacterial, absences finding, speech slurred, hepatomegaly"
stenosis   aortic valve,"rhd positive, wheezing, hemianopsia homonymous, shortness of breath, pain, labored breathing, fatigue, bradycardia"
peripheral   vascular disease,"barking cough, pansystolic murmur, cough, rigor - temperature-associated observation, dyspnea, apyrexial, sore to touch, dysesthesia"
benign   prostatic hypertrophy,"dysarthria, mental status changes, orthostasis, anorexia, neck stiffness, distress respiratory"
hyperglycemia,"consciousness clear, wheezing, seizure, haemoptysis, groggy"
obesity,"overweight, systolic murmur, hypokinesia, mood depressed, spasm, ecchymosis"
hypertension   pulmonary,"hypotension, dullness, neck stiffness, left atrial hypertrophy, mass in breast, pin-point pupils, coordination abnormal"
diabetes,"urinoma, stinging sensation, vertigo, labored breathing, Heberden's node, vomiting, unresponsiveness"
confusion,"dizziness, rhd positive, hemodynamically stable, lightheadedness, unresponsiveness, exhaustion, Heberden's node, dysarthria, pleuritic pain"
asthma,"pulse absent, speech slurred, productive cough, emphysematous change, distress respiratory, hyperkalemia, symptom aggravating factors, dyspareunia"
parkinson   disease,"metastatic lesion, mass of body structure, night sweat, hematuria, urge incontinence, shooting pain"
diverticulitis,"fever, urgency of micturition, focal seizures, retch, presence of q wave, egophony"
parkinson   disease,"sleeplessness, polydypsia, mass of body structure, hematuria, sleepy, night sweat"
hyperlipidemia,"facial paresis, dizziness, giddy mood, hemiplegia, painful swallowing, tremor resting, left atrial hypertrophy, scleral icterus"
dementia,"pain, sore to touch, unsteady gait, hallucinations auditory, monocytosis, retropulsion"
edema   pulmonary,"dysuria, sinus rhythm, malaise, wheezing, pain chest"
chronic   alcoholic intoxication,"breath sounds decreased, polyuria, abnormally hard consistency, blackout, shortness of breath"
diverticulosis,"gravida 10, anorexia, cystic lesion, green sputum, feeling hopeless, nightmare, nausea, blanch"
tonic-clonic seizures,"drool, ambidexterity, headache, ataxia, numbness, tumor cell invasion"
malignant   neoplasms,"dullness, cystic lesion, natural, ambidexterity, food intolerance, distress respiratory, extreme exhaustion, rapid shallow breathing, ache, pain abdominal"
chronic   obstructive airway disease,"adverse effect, patient non compliance, hypercapnia, monocytosis, chest tightness, overweight, nasal discharge present, wheezing"
personality   disorder,"homelessness, atypia, no status change, worry, asthenia, side pain, macerated skin"
epilepsy,"myoclonus, pallor, heavy legs, wheelchair bound, haemorrhage, cushingoid habitus, scratch marks, sleepy, dizziness"
hypothyroidism,"apyrexial, agitation, mental status changes, rhonchus, tired, numbness"
lymphoma,"polydypsia, emphysematous change, difficulty passing urine, soft tissue swelling, tired"
depressive disorder,"nightmare, verbal auditory hallucinations, energy increased, rale, choke, polyuria"
exanthema,"pain, verbal auditory hallucinations, abdominal bloating, painful swallowing, chill"
overload   fluid,"hypotension, hypokalemia, fatigability, distended abdomen, hypesthesia, disturbed family, vision blurred, Heberden's node"
decubitus   ulcer,"cardiomegaly, palpitation, fever, general discomfort, hyperhidrosis disorder, renal angle tenderness, systolic murmur"
affect   labile,"prostatism, hyperkalemia, bedridden, hallucinations visual, food intolerance"
chronic   obstructive airway disease,"patient non compliance, wheezing, macule, hunger, symptom aggravating factors"
psychotic   disorder,"photopsia, formication, nightmare, energy increased, terrify, behavior hyperactive, hypertonicity, ambidexterity"
diverticulitis,"thicken, urgency of micturition, Murphy's sign, hypesthesia, mass in breast, fever, estrogen use"
transient   ischemic attack,"difficulty, palpitation, st segment elevation, clumsiness, headache, syncope, hypercapnia, pain neck"
emphysema   pulmonary,"pain, ataxia, constipation, choke, fatigability, scleral icterus, arthralgia, dyspnea"
ulcer   peptic,"gurgle, nervousness, apyrexial, photopsia, hunger, nasal discharge present, heme positive"
benign   prostatic hypertrophy,"vision blurred, dysarthria, anorexia, scleral icterus, mental status changes, distress respiratory"
carcinoma breast,"hypesthesia, formication, debilitation, out of breath, dyspnea, tumor cell invasion, burning sensation, food intolerance, swelling"
hypoglycemia,"polyuria, distress respiratory, clammy skin, speech slurred, hypotension, no known drug allergies"
primary malignant neoplasm,"pain, abdomen acute, hematuria, hoarseness, thicken"
failure   kidney,"bedridden, decreased body weight, st segment elevation, no status change, prostatism"
spasm   bronchial,"vomiting, pain, abortion, sensory discomfort, hyperemesis, stool color yellow, has religious belief, ecchymosis, fremitus"
hypertension   pulmonary,"sniffle, primigravida, left atrial hypertrophy, dyspnea, hypotension, cardiovascular event, hypertonicity, neck stiffness, stridor"
benign   prostatic hypertrophy,"groggy, catatonia, mental status changes, dysarthria, distress respiratory"
kidney   disease,"tremor resting, gravida 0, behavior showing increased motor activity, bleeding of vagina, constipation, general discomfort, palpitation, fever, hyperkalemia"
spasm   bronchial,"fremitus, sensory discomfort, vomiting, jugular venous distention, monocytosis"
chronic   obstructive airway disease,"patient non compliance, flare, inappropriate affect, hypercapnia, constipation, chest tightness, wheezing, low back pain"
coronary heart disease,"fall, sweating increased, left atrial hypertrophy, unresponsiveness, hot flush"
incontinence,"unresponsiveness, hypoxemia, syncope, fall, blackout, asthenia"
gastroenteritis,"decreased body weight, hypokalemia, mass of body structure, cicatrisation, night sweat"
coronary heart disease,"orthopnea, dyspnea on exertion, sweating increased, hyperhidrosis disorder, arthralgia, giddy mood, air fluid level"
influenza,"sneeze, rambling speech, blackout, underweight, extreme exhaustion"
gout,"patient non compliance, agitation, dizzy spells, swelling, sleepy, ascites, pain, hypokinesia"
infection   urinary tract,"unable to concentrate, pain chest, stridor, mental status changes, metastatic lesion, consciousness clear"
respiratory   failure,"systolic murmur, extrapyramidal sign, bruit, suicidal, feeling suicidal, consciousness clear, redness, shortness of breath"
benign   prostatic hypertrophy,"dysarthria, hemodynamically stable, bleeding of vagina, numbness of hand, anorexia, pressure chest, floppy"
hyperlipidemia,"hyperemesis, scar tissue, anosmia, hypercapnia, dizziness, hemiplegia, palpitation, blanch, giddy mood"
incontinence,"hematocrit decreased, angina pectoris, prodrome, fall, non-productive cough, syncope"
pneumothorax,"ecchymosis, photopsia, soft tissue swelling, prostatism, agitation, choke"
failure   kidney,"malaise, no status change, unable to concentrate, prostatism, fatigue, bedridden"
Alzheimer's   disease,"hypertonicity, egophony, fever, tremor, groggy, muscle twitch"
affect   labile,"enuresis, bedridden, hallucinations visual, prostatism, uncoordination, lightheadedness"
epilepsy,"mass of body structure, wheelchair bound, regurgitates after swallowing, oliguria, moan"
transient   ischemic attack,"hyperhidrosis disorder, neck stiffness, homelessness, headache, clumsiness, lung nodule"
neoplasm   metastasis,"hematochezia, atypia, food intolerance, asthenia, mass of body structure, milky"
chronic   alcoholic intoxication,"panic, sleeplessness, breath sounds decreased, hypoproteinemia, ambidexterity, shortness of breath"
affect   labile,"wheelchair bound, bedridden, hot flush, apyrexial, decreased translucency, prostatism"
diverticulitis,"rest pain, fever, monoclonal, thicken, behavior hyperactive"
dependence,"abnormally hard consistency, prodrome, general discomfort, hemodynamically stable, stuffy nose"
aphasia,"aphagia, hyperkalemia, hoard, charleyhorse, hallucinations auditory, cystic lesion, paralyse"
carcinoma,"drool, abscess bacterial, diarrhea, hypotonic, hypometabolism"
pericardial effusion body substance,"scleral icterus, tremor resting, elation, pain back, welt"
parkinson   disease,"night sweat, hematuria, sedentary, orthopnea, sleepy, cystic lesion, breath-holding spell"
gastroesophageal   reflux disease,"asthenia, disequilibrium, unwell, palpitation, pain abdominal"
neuropathy,"pain, asthenia, left atrial hypertrophy, stiffness, posturing, slowing of urinary stream"
personality   disorder,"flatulence, homelessness, sciatica, side pain, abnormal sensation, worry"
depressive disorder,"nightmare, homelessness, asterixis, energy increased, verbal auditory hallucinations, consciousness clear"
arthritis,"stool color yellow, loose associations, distended abdomen, general unsteadiness, pain, lesion"
dependence,"rale, pain abdominal, prodrome, muscle twitch, arthralgia"
migraine   disorders,"nausea, hypothermia, dizziness, fever, cachexia, splenomegaly"
colitis,"hypocalcemia result, chill, tenesmus, haemorrhage, vision blurred, aphagia, transsexual, nightmare"
neutropenia,"oliguria, fever, tachypnea, wheelchair bound, distress respiratory, hypocalcemia result"
cholecystitis,"feces in rectum, anosmia, groggy, abnormally hard consistency, hyperemesis, weepiness, constipation"
hemorrhoids,"flare, retropulsion, guaiac positive, verbal auditory hallucinations, dizziness, numbness of hand, malaise, red blotches"
hepatitis   B,"wheelchair bound, moan, distended abdomen, mood depressed, sneeze, abdominal tenderness"
chronic   obstructive airway disease,"cardiovascular event, hypercapnia, patient non compliance, chest tightness, arthralgia, wheezing"
bacteremia,"diarrhea, apyrexial, pallor, pruritus, pleuritic pain, posturing"
biliary   calculus,"diarrhea, retch, apyrexial, sore to touch, thicken, difficulty, atypia"
hiv infections,"feeling suicidal, neck stiffness, absences finding, productive cough, decreased body weight"
hiv infections,"yellow sputum, hypotonic, nonsmoker, phonophobia, feeling suicidal, productive cough, hematocrit decreased"
aphasia,"aphagia, charleyhorse, paralyse, aura, low back pain, tinnitus"
kidney   failure acute,"diarrhea, hyperventilation, heartburn, lip smacking, pain abdominal, natural"
melanoma,"hypotonic, nasal discharge present, vomiting, verbally abusive behavior, gravida 0, pain"
incontinence,"alcohol binge episode, patient non compliance, syncope, unresponsiveness, gasping for breath, stiffness"
carcinoma colon,"hyperemesis, systolic murmur, polydypsia, systolic ejection murmur, frothy sputum, polymyalgia, distress respiratory"
fibroid   tumor,"bruit, sedentary, proteinemia, abnormally hard consistency, rolling of eyes"
epilepsy,"abnormal sensation, sleepy, monoclonal, wheelchair bound, elation, myoclonus, fever, lethargy, st segment elevation"
neuropathy,"asthenia, neologism, slowing of urinary stream, dyspareunia, pain, tenesmus"
cirrhosis,"bleeding of vagina, absences finding, guaiac positive, frail, aura"
primary malignant neoplasm,"pain, hematuria, dysdiadochokinesia, st segment depression, breath-holding spell, thicken, groggy, fear of falling, hoarseness, palpitation"
tonic-clonic seizures,"ambidexterity, headache, cushingoid habitus, sleepy, nightmare, spasm, regurgitates after swallowing"
Alzheimer's   disease,"exhaustion, ambidexterity, muscle twitch, labored breathing, groggy, fever, tremor"
influenza,"systolic murmur, primigravida, bedridden, sneeze, distress respiratory, catatonia, extreme exhaustion, verbal auditory hallucinations, constipation"
chronic   alcoholic intoxication,"sleeplessness, shortness of breath, panic, blackout, noisy respiration, intoxication"
hemiparesis,"Stahli's line, rest pain, irritable mood, flatulence, stinging sensation, sleepy"
paroxysmal   dyspnea,"stuffy nose, hyperhidrosis disorder, dyspnea, hematochezia, cough, sweating increased, absences finding"
neutropenia,"oliguria, distress respiratory, unsteady gait, dizziness, monoclonal, hypocalcemia result"
paranoia,"emphysematous change, mood depressed, rapid shallow breathing, energy increased, loose associations, blackout"
emphysema   pulmonary,"hallucinations visual, dyspnea, terrify, arthralgia, headache, constipation, choke"
diverticulitis,"headache, thicken, stinging sensation, urgency of micturition, pruritus, swelling, hematocrit decreased, fever, monoclonal"
gastroenteritis,"chest tightness, decreased body weight, retch, mass of body structure, hyponatremia"
cardiomyopathy,"poor feeding, weight gain, bowel sounds decreased, polymyalgia, fatigue, patient non compliance, numbness"
hepatitis   B,"moan, abdominal tenderness, wheelchair bound, projectile vomiting, arthralgia, underweight, hemianopsia homonymous, difficulty passing urine"
failure   kidney,"bedridden, no status change, prostatism, breakthrough pain, transsexual"
hepatitis   B,"moan, abdominal tenderness, projectile vomiting, hyponatremia, wheelchair bound, nasal discharge present"
neoplasm   metastasis,"flushing, food intolerance, wheezing, atypia, para 1, mass of body structure"
pancytopenia,"posturing, fatigue, colic abdominal, chill, hypoproteinemia"
migraine   disorders,"nausea, sinus rhythm, splenomegaly, irritable mood, dizziness"
paranoia,"feeling hopeless, mood depressed, energy increased, general unsteadiness, blackout"
coronary heart disease,"orthopnea, dyspnea on exertion, sleeplessness, sputum purulent, sweating increased, chest tightness"
manic   disorder,"decompensation, jugular venous distention, suicidal, feeling suicidal, no known drug allergies"
accident   cerebrovascular,"asthenia, numbness, flatulence, food intolerance, hemodynamically stable, loose associations, tenesmus, seizure"
cholecystitis,"constipation, hypokalemia, low back pain, choke, red blotches"
hiv infections,"hypotonic, behavior showing increased motor activity, ascites, poor feeding, welt, decreased body weight, incoherent, productive cough"
Pneumocystis   carinii pneumonia,"poor dentition, colic abdominal, transsexual, transaminitis, focal seizures, non-productive cough"
carcinoma,"speech slurred, difficulty passing urine, heartburn, labored breathing, diarrhea, lung nodule, choke, scar tissue, asthenia"
psychotic   disorder,"dysarthria, behavior hyperactive, regurgitates after swallowing, nightmare, terrify, macerated skin, titubation"
diverticulitis,"fever, bruit, thicken, monoclonal, welt, gasping for breath"
failure   heart,"throat sore, hypokinesia, hyperhidrosis disorder, fatigue, systolic ejection murmur, oliguria, angina pectoris"
mitral   valve insufficiency,"red blotches, fatigue, pain, chest discomfort, vomiting, general discomfort, groggy"
depressive disorder,"clonus, tonic seizures, energy increased, stridor, abscess bacterial"
ketoacidosis   diabetic,"general unsteadiness, hypokalemia, urinary hesitation, seizure, aura, hirsutism, diarrhea, nervousness, jugular venous distention"
malignant   neoplasms,"extreme exhaustion, dullness, pain foot, food intolerance, aphagia"
psychotic   disorder,"terrify, nightmare, energy increased, dysdiadochokinesia, weepiness, panic, behavior hyperactive"
benign   prostatic hypertrophy,"hacking cough, anorexia, irritable mood, dysarthria, green sputum, distress respiratory, groggy, hemianopsia homonymous"
exanthema,"pain, bleeding of vagina, chill, bradycardia, painful swallowing, fever, tremor resting"
aphasia,"feeling suicidal, charleyhorse, paralyse, gag, aphagia"
benign   prostatic hypertrophy,"hot flush, stool color yellow, dysarthria, distress respiratory, mental status changes, anorexia, ache, overweight"
pneumonia,"malaise, night sweat, wheezing, non-productive cough, shooting pain"
delusion,"heavy legs, estrogen use, terrify, irritable mood, agitation"
overload   fluid,"distended abdomen, dysuria, nightmare, hypotension, blackout, swelling"
confusion,"dizziness, lightheadedness, photophobia, dysarthria, extreme exhaustion, general discomfort"
infection,"myoclonus, st segment depression, chest discomfort, pain, apyrexial"
cellulitis,"sore to touch, pain chest, clammy skin, room spinning, scratch marks"
thrombocytopaenia,"fatigue, pruritus, posterior rhinorrhea, urgency of micturition, tired, lip smacking, hypotension"
hepatitis,"vomiting, fever, fear of falling, chill, feeling strange, renal angle tenderness, loose associations, frail, apyrexial"
hepatitis   B,"moan, hirsutism, wheelchair bound, abdominal tenderness, projectile vomiting, extrapyramidal sign"
ischemia,"asymptomatic, sweating increased, nervousness, bradycardia, cicatrisation, hematuria, rale"
chronic   obstructive airway disease,"hypercapnia, vision blurred, nausea and vomiting, chest tightness, t wave inverted, patient non compliance"
bacteremia,"r wave feature, pleuritic pain, excruciating pain, diarrhea, pruritus, pallor, hypoxemia"
schizophrenia,"homelessness, weepiness, hallucinations visual, aphagia, fecaluria, macerated skin, worry"
pyelonephritis,"air fluid level, vision blurred, myalgia, pain abdominal, chill"
anxiety   state,"mediastinal shift, hypotension, hallucinations auditory, hot flush, arthralgia, mood depressed"
incontinence,"syncope, fall, stiffness, unresponsiveness, alcohol binge episode, sleeplessness"
accident   cerebrovascular,"flare, numbness, unresponsiveness, pleuritic pain, seizure"
anemia,"ataxia, shortness of breath, swelling, guaiac positive, hirsutism"
neoplasm   metastasis,"pain, spontaneous rupture of membranes, mass of body structure, burning sensation, presence of q wave, flare, atypia"
bronchitis,"hacking cough, chill, decreased body weight, dullness, dyspnea, apyrexial"
failure   kidney,"fatigue, painful swallowing, prostatism, fecaluria, sciatica, homicidal thoughts, bedridden"
parkinson   disease,"asymptomatic, impaired cognition, sleepy, night sweat, scar tissue, titubation"
influenza,"distress respiratory, cachexia, extreme exhaustion, sneeze, hypotension, blackout, transsexual"
neoplasm   metastasis,"fecaluria, sensory discomfort, regurgitates after swallowing, pain, atypia"
neoplasm   metastasis,"dysuria, regurgitates after swallowing, food intolerance, hypothermia, headache, coordination abnormal, impaired cognition"
cholecystitis,"constipation, breath sounds decreased, rolling of eyes, patient non compliance, milky, feces in rectum, rigor - temperature-associated observation"
suicide   attempt,"formication, fall, irritable mood, erythema, fatigue, neologism"
diverticulosis,"stiffness, anorexia, mediastinal shift, cystic lesion, feeling hopeless, nausea"
gout,"shooting pain, hydropneumothorax, todd paralysis, pain, regurgitates after swallowing, ascites, patient non compliance"
failure   heart,"air fluid level, focal seizures, heartburn, systolic ejection murmur, hypotension"
hypertension   pulmonary,"left atrial hypertrophy, behavior showing increased motor activity, cyanosis, malaise, numbness of hand"
chronic   alcoholic intoxication,"breath sounds decreased, shortness of breath, excruciating pain, panic, moody"
thrombocytopaenia,"posterior rhinorrhea, hypotension, vertigo, side pain, fatigue"
upper   respiratory infection,"apyrexial, noisy respiration, frail, emphysematous change, pain in lower limb, pin-point pupils"
infection   urinary tract,"weight gain, mental status changes, difficulty passing urine, heme positive, consciousness clear"
encephalopathy,"drowsiness, unresponsiveness, hypokinesia, non-productive cough, thicken, prostate tender, rest pain, intermenstrual heavy bleeding"
asthma,"bedridden, distress respiratory, pleuritic pain, productive cough, symptom aggravating factors, pain neck, bradycardia, haemoptysis"
dementia,"intermenstrual heavy bleeding, pain, unsteady gait, abdominal tenderness, satiety early, fear of falling"
hypertensive   disease,"pressure chest, labored breathing, angina pectoris, nausea, palpitation, hemiplegia, gurgle, elation, urinary hesitation"
depressive disorder,"gravida 10, energy increased, distress respiratory, homelessness, burning sensation, nightmare"
peripheral   vascular disease,"sleepy, cushingoid habitus, Murphy's sign, dyspnea, guaiac positive, anorexia"
gastroenteritis,"retch, breakthrough pain, dyspnea, hyponatremia, polydypsia, r wave feature, abscess bacterial, mass of body structure"
accident   cerebrovascular,"seizure, impaired cognition, noisy respiration, numbness, asthenia, rambling speech"
accident   cerebrovascular,"numbness, gravida 10, hypersomnia, unresponsiveness, asthenia, seizure, nightmare, lesion"
pancytopenia,"nausea, hematocrit decreased, colic abdominal, hypoproteinemia, stool color yellow, hypometabolism, fatigue, irritable mood, patient non compliance"
personality   disorder,"worry, hyperventilation, pruritus, bruit, bradycardia"
diverticulitis,"urgency of micturition, ache, monoclonal, thicken, metastatic lesion"
dehydration,"lip smacking, sweating increased, intermenstrual heavy bleeding, history of - blackout, dizziness, lethargy, sniffle, tenesmus, no status change"
ileus,"unhappy, apyrexial, thicken, redness, presence of q wave, alcohol binge episode, gravida 0"
cholecystitis,"groggy, constipation, abnormally hard consistency, hypokinesia, feces in rectum, homelessness, proteinemia, todd paralysis"
carcinoma,"incoherent, behavior showing increased motor activity, malaise, lung nodule, heartburn, adverse effect"
pneumothorax,"soft tissue swelling, formication, cardiovascular event, projectile vomiting, prostatism, agitation"
carcinoma of lung,"asthenia, anosmia, agitation, hyponatremia, decreased translucency, irritable mood, weight gain"
anxiety   state,"mood depressed, gasping for breath, hallucinations auditory, agitation, pain, bradykinesia"
depressive disorder,"verbal auditory hallucinations, para 2, paralyse, homelessness, energy increased, hypersomnia, pain chest"
confusion,"dizziness, general discomfort, dysarthria, unresponsiveness, lightheadedness, patient non compliance"
incontinence,"muscle twitch, seizure, syncope, asymptomatic, unresponsiveness, ataxia"
personality   disorder,"verbal auditory hallucinations, abortion, pruritus, homelessness, distended abdomen, worry, yellow sputum"
tonic-clonic seizures,"catatonia, ambidexterity, headache, scratch marks, tumor cell invasion, spasm"
pneumonia   aspiration,"mass of body structure, myoclonus, ecchymosis, pain abdominal, bradycardia, dysuria, diarrhea, gurgle"
failure   heart,"angina pectoris, bedridden, sputum purulent, breath-holding spell, hypotension"
tonic-clonic seizures,"tumor cell invasion, spasm, throat sore, ambidexterity, headache, ecchymosis"
neutropenia,"monoclonal, angina pectoris, hypocalcemia result, wheezing, hemiplegia"
gastritis,"scratch marks, sore to touch, welt, decreased body weight, difficulty passing urine, dizziness, colic abdominal"
ischemia,"sweating increased, asymptomatic, fecaluria, bradycardia, verbal auditory hallucinations, seizure"
cellulitis,"mental status changes, scratch marks, tonic seizures, left atrial hypertrophy, pruritus"
failure   kidney,"hypotonic, prostatism, no status change, bedridden, fatigue"
dementia,"posturing, productive cough, snuffle, abdominal tenderness, pain, lung nodule, mood depressed, unsteady gait"
degenerative   polyarthritis,"non-productive cough, tremor resting, stiffness, shooting pain, polydypsia, unsteady gait"
dehydration,"spasm, sensory discomfort, chest discomfort, history of - blackout, posterior rhinorrhea, hypertonicity, dizziness, paresthesia, lethargy"
mitral   valve insufficiency,"vomiting, fatigue, bleeding of vagina, pain, unsteady gait, pressure chest, chest discomfort, intoxication"
epilepsy,"lethargy, myoclonus, productive cough, breakthrough pain, wheelchair bound, catching breath"
diverticulosis,"achalasia, anorexia, chill, feeling hopeless, hypersomnolence, nausea, cystic lesion, hyperventilation, atypia"
oral   candidiasis,"feels hot/feverish, hypoalbuminemia, pain neck, abdominal bloating, transaminitis"
spasm   bronchial,"stuffy nose, sensory discomfort, vomiting, asthenia, pain, fremitus"
osteoporosis,"photophobia, aura, posturing, hyperemesis, out of breath, spontaneous rupture of membranes, syncope"
hypertensive   disease,"thicken, palpitation, pressure chest, breakthrough pain, nausea"
pericardial effusion body substance,"intoxication, oliguria, wheezing, pain, enuresis"
carcinoma,"heartburn, diarrhea, nausea, hypotension, focal seizures"
hepatitis,"inappropriate affect, chill, hematocrit decreased, Murphy's sign, fever, distress respiratory, tremor resting, pansystolic murmur"
pneumonia,"wheezing, primigravida, diarrhea, non-productive cough, malaise"
insufficiency   renal,"hypotension, breath sounds decreased, gravida 10, shortness of breath, hypokinesia"
cellulitis,"scratch marks, cyanosis, previous pregnancies 2, orthopnea, redness"
embolism   pulmonary,"pain chest, food intolerance, distress respiratory, cardiovascular event, wheezing, pneumatouria, green sputum, unresponsiveness, non-productive cough"
hernia   hiatal,"photophobia, guaiac positive, headache, sniffle, numbness of hand, Stahli's line"
psychotic   disorder,"asterixis, energy increased, nightmare, feels hot/feverish, terrify"
parkinson   disease,"pain foot, night sweat, rambling speech, sleepy, mass of body structure"
gastroesophageal   reflux disease,"mydriasis, asthenia, palpitation, sweating increased, focal seizures, pain abdominal"
bacteremia,"pleuritic pain, decreased translucency, urge incontinence, projectile vomiting, gravida 0, hypocalcemia result"
benign   prostatic hypertrophy,"distress respiratory, tenesmus, sore to touch, nasal flaring, milky, mental status changes"
lymphoma,"stool color yellow, abnormal sensation, polydypsia, superimposition, cicatrisation, hematocrit decreased, palpitation"
arthritis,"pain, ascites, qt interval prolonged, shortness of breath, hypersomnia"
Alzheimer's   disease,"tremor, st segment depression, poor dentition, fever, fatigability, muscle twitch"
ketoacidosis   diabetic,"seizure, swelling, hyperacusis, diarrhea, bradykinesia, aura, urinary hesitation, estrogen use"
paranoia,"loose associations, polydypsia, barking cough, Murphy's sign, fear of falling, mood depressed, energy increased"
transient   ischemic attack,"decreased stool caliber, macerated skin, syncope, asymptomatic, difficulty, fever, clumsiness"
cellulitis,"hepatomegaly, feces in rectum, pruritus, sore to touch, scratch marks, has religious belief"
ileus,"dyspareunia, apyrexial, gravida 0, nasal flaring, mediastinal shift, retch, pain abdominal"
malignant   neoplasms,"abdominal bloating, withdraw, gasping for breath, pain abdominal, food intolerance, dullness, green sputum"
malignant   neoplasms,"vision blurred, nausea, pain abdominal, dullness, general discomfort"
pyelonephritis,"angina pectoris, terrify, pain abdominal, gravida 0, myalgia, scratch marks, chill"
hypoglycemia,"hepatomegaly, welt, clammy skin, hypotension, retch, redness, bedridden, verbally abusive behavior, polyuria"
degenerative   polyarthritis,"scleral icterus, stiffness, tachypnea, pericardial friction rub, egophony"
tricuspid   valve insufficiency,"palpitation, pain, mediastinal shift, impaired cognition, barking cough, hyperhidrosis disorder, cicatrisation"
colitis,"rolling of eyes, urge incontinence, pain abdominal, labored breathing, impaired cognition"
kidney   failure acute,"disturbed family, haemorrhage, agitation, unsteady gait, diarrhea, unresponsiveness, worry"
hepatitis,"chill, breech presentation, rhonchus, distress respiratory, fever, erythema"
primary malignant neoplasm,"transsexual, pain, room spinning, hoarseness, hematuria"
myocardial   infarction,"abnormal sensation, myalgia, chest tightness, nausea, focal seizures, dyspnea, estrogen use, presence of q wave"
personality   disorder,"pruritus, stiffness, side pain, symptom aggravating factors, worry, intermenstrual heavy bleeding, tired, homelessness, nonsmoker"
manic   disorder,"decompensation, difficulty, spontaneous rupture of membranes, tired, feeling suicidal, polymyalgia, pustule"
delusion,"anosmia, agitation, terrify, blackout, orthopnea"
melanoma,"heartburn, rolling of eyes, diarrhea, vomiting, mass in breast, pain"
paranoia,"achalasia, redness, lightheadedness, pruritus, mood depressed, loose associations, weight gain"
chronic   kidney failure,"unresponsiveness, polymyalgia, nasal flaring, noisy respiration, malaise, clammy skin, incoherent"
incontinence,"syncope, nervousness, blanch, cough, myalgia, bedridden, lung nodule, stiffness, fall"
gastritis,"ache, hypokalemia, dizziness, hyperkalemia, decreased body weight, pain"
hiv infections,"feeling suicidal, headache, hypotonic, egophony, pain chest, decreased body weight"
degenerative   polyarthritis,"non-productive cough, claudication, stiffness, drool, unsteady gait, polydypsia"
sickle   cell anemia,"hepatosplenomegaly, apyrexial, abdominal bloating, green sputum, indifferent mood, mental status changes, headache, lip smacking"
hiv infections,"hypotonic, decreased body weight, productive cough, mass in breast, pain neck, feeling suicidal"
anxiety   state,"fear of falling, hallucinations auditory, stinging sensation, palpitation, satiety early"
cardiomyopathy,"ecchymosis, weight gain, abnormally hard consistency, mass in breast, patient non compliance"
aphasia,"flare, stinging sensation, paralyse, low back pain, cachexia, bruit, aphagia, hypesthesia"
ketoacidosis   diabetic,"hyperhidrosis disorder, seizure, urinary hesitation, hypersomnia, projectile vomiting, aura"
osteomyelitis,"hyperacusis, pain foot, choke, asthenia, abscess bacterial, chest tightness, urinary hesitation, Murphy's sign, erythema"
degenerative   polyarthritis,"disturbed family, stiffness, breakthrough pain, swelling, hypesthesia, wheelchair bound, lightheadedness, polydypsia, unsteady gait"
epilepsy,"urinoma, lethargy, macerated skin, wheelchair bound, myoclonus, yellow sputum"
deep   vein thrombosis,"clonus, constipation, cyanosis, redness, primigravida, hypotension, terrify"
pneumonia,"night sweat, non-productive cough, wheezing, aphagia, pallor, malaise, spontaneous rupture of membranes"
hepatitis   C,"air fluid level, systolic ejection murmur, photopsia, hallucinations auditory, mental status changes, chill, patient non compliance"
affect   labile,"pin-point pupils, hypokalemia, hallucinations visual, night sweat, extreme exhaustion, myalgia, bedridden"
hypercholesterolemia,"t wave inverted, worry, dyspnea, haemoptysis, anorexia, st segment elevation, hypokalemia, hemianopsia homonymous"
osteomyelitis,"abscess bacterial, pain foot, erythema, sciatica, para 2"
chronic   alcoholic intoxication,"sleeplessness, feeling suicidal, homicidal thoughts, shortness of breath, panic"
dependence,"apyrexial, Murphy's sign, stuffy nose, rale, para 2, heavy legs"
hyperlipidemia,"dizziness, giddy mood, hemiplegia, abdominal tenderness, red blotches, hypokinesia, lightheadedness, slowing of urinary stream"
tonic-clonic seizures,"pansystolic murmur, tumor cell invasion, bleeding of vagina, spasm, ambidexterity, headache"
transient   ischemic attack,"clumsiness, flatulence, disequilibrium, pansystolic murmur, syncope, orthopnea, difficulty, headache"
pancytopenia,"muscle twitch, air fluid level, stool color yellow, worry, has religious belief, hypoproteinemia, coordination abnormal, fatigue"
deep   vein thrombosis,"fear of falling, primigravida, clammy skin, clonus, redness, non-productive cough"
Alzheimer's   disease,"groggy, guaiac positive, fever, tremor, inappropriate affect, pneumatouria, blackout"
cholecystitis,"feces in rectum, superimposition, sweating increased, spontaneous rupture of membranes, natural, constipation"
aphasia,"poor feeding, frail, flare, aphagia, choke, low back pain, charleyhorse, paralyse"
